,Кредит,Дебет,"сар, өдөр", Дүн 
0,110101 - Үндсэн данс /417035100/,701101 - Ашиглалтын зардал,3/20/2023 0:00," 40,355.75 "
1,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/20/2023 0:00," 1,649.67 "
2,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,3/20/2023 0:00," 4,035.58 "
3,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/20/2023 0:00," 38,312.30 "
4,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,3/20/2023 0:00," 27,725.57 "
5,110101 - Үндсэн данс /417035100/,700601 - Шуудан холбооны зардал,3/20/2023 0:00," 277,255.65 "
6,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/20/2023 0:00," 34,985.00 "
7,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 200.00 
8,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
9,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/20/2023 0:00," 132,776.92 "
10,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 200.00 
11,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
12,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/20/2023 0:00," 22,847.00 "
13,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
14,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
15,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага,3/20/2023 0:00," 25,000.00 "
16,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
17,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,3/20/2023 0:00," 4,763.64 "
18,110101 - Үндсэн данс /417035100/,700601 - Шуудан холбооны зардал,3/20/2023 0:00," 47,636.36 "
19,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
20,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/20/2023 0:00, 100.00 
21,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/22/2023 0:00," 250,000.00 "
22,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/22/2023 0:00, 100.00 
23,110101 - Үндсэн данс /417035100/,702801 - Бусад зардал,3/22/2023 0:00," 1,363,636.36 "
24,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,3/22/2023 0:00," 136,363.64 "
25,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/22/2023 0:00, 200.00 
26,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/22/2023 0:00, 100.00 
27,110101 - Үндсэн данс /417035100/,870903 - Баримтаар нотлогдохгүй байгаа ханшийн зөрүүний гарз,3/23/2023 0:00," 231,050.00 "
28,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/23/2023 0:00, 100.00 
29,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/24/2023 0:00," 200,000.00 "
30,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/24/2023 0:00, 200.00 
31,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/24/2023 0:00, 100.00 
32,110101 - Үндсэн данс /417035100/,702201 - Хүүгийн зардал,3/25/2023 0:00," 220,547.94 "
33,110101 - Үндсэн данс /417035100/,340104 - Бусад урт хугацаат өр төлбөр,3/25/2023 0:00," 6,388,888.89 "
34,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 6,946,352.22 "
35,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 3,307,786.77 "
36,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 10,600.00 "
37,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 488,951.90 "
38,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 232,834.24 "
39,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 8,200.00 "
40,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 3,579,956.23 "
41,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 1,704,741.06 "
42,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/25/2023 0:00," 10,600.00 "
43,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага,3/25/2023 0:00," 1,000,000.00 "
44,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/25/2023 0:00, 100.00 
45,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/25/2023 0:00, 100.00 
46,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/25/2023 0:00, 100.00 
47,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/25/2023 0:00, 100.00 
48,110101 - Үндсэн данс /417035100/,702801 - Бусад зардал,3/27/2023 0:00," 340,000.00 "
49,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,3/27/2023 0:00," 34,000.00 "
50,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/27/2023 0:00, 100.00 
51,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/27/2023 0:00," 4,884,193.96 "
52,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/27/2023 0:00, 100.00 
53,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/28/2023 0:00," 288,200.00 "
54,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/28/2023 0:00," 250,800.00 "
55,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/28/2023 0:00," 198,000.00 "
56,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,3/28/2023 0:00," 634,755.00 "
57,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/28/2023 0:00, 100.00 
58,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/28/2023 0:00, 200.00 
59,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/28/2023 0:00, 100.00 
60,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/28/2023 0:00," 300,000.00 "
61,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/28/2023 0:00, 200.00 
62,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/28/2023 0:00, 100.00 
63,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/29/2023 0:00," 1,831,100.00 "
64,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/29/2023 0:00," 30,000.00 "
65,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/29/2023 0:00," 50,000.00 "
66,110101 - Үндсэн данс /417035100/,700701 - Мэргэжлийн үйлчилгээний зардал,3/29/2023 0:00," 310,500.00 "
67,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/29/2023 0:00, 200.00 
68,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/29/2023 0:00, 100.00 
69,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/30/2023 0:00," 300,000.00 "
70,110101 - Үндсэн данс /417035100/,310201 - Цалингийн өглөг,3/30/2023 0:00," 5,872,920.95 "
71,110101 - Үндсэн данс /417035100/,870903 - Баримтаар нотлогдохгүй байгаа ханшийн зөрүүний гарз,3/30/2023 0:00," 518,640.00 "
72,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
73,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/30/2023 0:00," 1,762,835.28 "
74,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
75,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
76,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 88,265.56 "
77,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
78,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
79,110101 - Үндсэн данс /417035100/,310201 - Цалингийн өглөг,3/30/2023 0:00," 314,500.00 "
80,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
81,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
82,110101 - Үндсэн данс /417035100/,310201 - Цалингийн өглөг,3/30/2023 0:00," 183,075.00 "
83,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
84,110101 - Үндсэн данс /417035100/,310201 - Цалингийн өглөг,3/30/2023 0:00," 425,615.56 "
85,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
86,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
87,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 296,000.00 "
88,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
89,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
90,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 147,000.00 "
91,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
92,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
93,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 196,000.00 "
94,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
95,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
96,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 250,000.00 "
97,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
98,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
99,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,3/30/2023 0:00," 250,000.00 "
100,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
101,110101 - Үндсэн данс /417035100/,310501 - НДШ - ийн өглөг,3/30/2023 0:00," 4,606,587.31 "
102,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
103,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/30/2023 0:00," 200,000.00 "
104,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 200.00 
105,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
106,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,3/30/2023 0:00," 250,000.00 "
107,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/30/2023 0:00, 100.00 
108,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,3/31/2023 0:00," 1,000.00 "
109,110101 - Үндсэн данс /417035100/,"700301 - Албан татвар, төлбөр, хураамжийн зардал",3/31/2023 0:00," 3,180.22 "
110,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/3/2023 0:00," 500,000.00 "
111,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/3/2023 0:00, 200.00 
