,Харилцагчийн нэр,Эхний үлдэгдэл, Борлуулалтын авлага ,Хасагдсан дүн,Эцсийн үлдэгдэл,,
0,Advanced natural nutrition LLC/ Profit gym," 1,235,520.00 "," 9,217,890.00 "," 10,453,410.00 ", -   ,,
1,Anuxai Private Brand, -   ," 61,899,125.41 "," 61,899,125.41 ", -   ,,
2,Athlete gym /Түвшинтогтох 88063307/," 975,000.00 "," 11,862,050.00 "," 12,237,050.00 "," 600,000.00 ",,
3,Avangers gym Жавхлан /Спининг/," 630,000.00 "," 5,749,370.00 "," 4,630,000.00 "," 1,749,370.00 ",,
4,Bar86 gym/ Бар 86, -   ," 2,028,420.00 "," 2,028,420.00 ", -   ,,
5,CORPORATION GYM," 1,632,020.00 "," 106,920.00 ", -   ," 1,738,940.00 ",,
6,CU Сэнтрал экспресс Си ви эс хк CU," 50,992,313.10 "," 69,241,704.00 "," 120,234,017.10 ", -   ,,
7,California," 1,235,520.00 "," 6,118,830.00 "," 7,354,350.00 ", -   ,,
8,Cante / Кантэ энд ко ХХК, -   ," 2,745,600.00 "," 2,640,000.00 "," 105,600.00 ",,
9,City gym," 6,679,900.00 "," 6,714,390.00 "," 13,368,290.00 "," 26,000.00 ",,
10,Crossfit /Лхамаа/, -   ," 2,606,175.00 ", -   ," 2,606,175.00 ",,
11,Crown gym Нямаа," 716,150.00 "," 1,217,720.00 "," 1,933,870.00 ", -   ,,
12,Double B /Баярболд 88138849/," 1,565,400.29 "," 55,597,730.00 "," 55,598,040.00 "," 1,565,090.29 ",,
13,Efes/ Зайсан," 190,080.00 "," 366,720.00 "," 556,800.00 ", -   ,,
14,Efes/13-р салбар-Бөхийн өргөө, -   ," 366,720.00 "," 366,720.00 ", -   ,,
15,Encanto gym Яармаг /95517063/ Баасансүрэн," 785,200.00 "," 4,944,000.00 "," 5,528,200.00 "," 201,000.00 ",,
16,Erka BULTUUSH/ Эрдэнэбат," 1,983,150.00 "," 36,766,190.00 "," 37,651,340.00 "," 1,098,000.00 ",,
17,FITVEX gym," 885,520.00 "," 7,046,560.00 "," 7,932,080.00 ", -   ,,
18,GS25 / Дижитал Концепт ХХК," 29,073,053.82 "," 107,989,200.00 "," 137,062,253.82 ", -   ,,
19,Gold`s салбар, -   ," 108,196,747.00 "," 107,988,247.00 "," 208,500.00 ",,
20,"Golden Star fitness /77070744, 99090771/ Ариунэрдэнэ Ариулсан ХХК"," 2,266,650.00 "," 21,960,140.00 "," 23,852,518.00 "," 374,272.00 ",,
21,HUB center, (8.00)," 720,000.00 "," 719,992.00 ", -   ,,
22,Health Point, -   ," 3,567,600.00 ", -   ," 3,567,600.00 ",,
23,I RUN MONGOLIA," 410,400.00 "," 1,512,800.00 "," 1,923,200.00 ", -   ,,
24,King fitness , -   ," 1,550,000.00 ", -   ,,,
25,King fitness / king club, -   ," 967,680.00 "," 2,517,680.00 ",,,
26,M sky, -   ," 180,000.00 "," 180,000.00 ", -   ,,
27,MMart /Алтай хотхон/, -   ," 285,120.00 "," 285,120.00 ", -   ,,
28,MMart /Багшийн дээд/," 855,360.00 "," 95,040.00 "," 950,400.00 ", -   ,,
29,Monster gym Отгонбаяр, -   ," 6,039,660.00 "," 6,039,660.00 ", -   ,,
30,O`Resh /Хүннү 2222/, -   ," 113,754.00 "," 113,754.00 ", -   ,,
31,"Olymp Gym /88187600, 77070058/ Баяртогтох"," 1,267,520.00 "," 10,251,930.00 "," 11,311,520.00 "," 207,930.00 ",,
32,Physical gym, -   ," 4,435,520.00 "," 4,435,520.00 ", -   ,,
33,Prime capital LLC/ Cayenne restaurant, -   ," 558,225.00 "," 558,225.00 ", -   ,,
34,Proteam LLC , -   ," 180,000.00 "," 180,000.00 ", -   ,,
35,Shangrilla Шинэ Алтанзаан, -   ," 2,471,040.00 "," 2,471,040.00 ", -   ,,
36,Sodon gym /Nalaih/Batbayar," 1,336,900.00 "," 1,475,000.00 "," 1,550,000.00 "," 1,261,900.00 ",,
37,Star fitness /Од/, (3.00)," 28,703,040.00 "," 27,703,080.00 "," 999,957.00 ",,
38,Temuulel stars/ Тэмүүлэл стар, -   ," 690,930.00 ", -   ," 690,930.00 ",,
39,Tsendee," 2,571,520.00 "," 4,548,070.00 "," 7,119,590.00 ", -   ,,
40,UG Ананд Энх Ундрам ХХК (Банзрагч Энхзаяа), -   ," 13,393,440.00 "," 13,393,440.00 ", -   ,,
41,\Олимпус спортинг гүүдс/ Olimpus Gym /99047516/ Отгоо, -   ," 598,500.00 ", -   ," 598,500.00 ",,
42,Амитот ХХК/Coffee Esperanto," 528,000.00 "," 7,560,000.00 "," 7,278,000.00 "," 810,000.00 ",,
43,Анстак инк ХХК/Moffice coffee shop, -   ," 630,000.00 "," 630,000.00 ", -   ,,
44,Анхны хишиг /99980288-Нацагдорж/," 812,000.00 "," 2,279,320.00 "," 3,091,320.00 ", -   ,,
45,Апу дэйри, -   ," 1,283,040.00 "," 855,360.00 "," 427,680.00 ",,
46,Ачит  хонгор, -   ," 11,360,610.00 ", -   ," 11,360,610.00 ",,
47,Бадамханд, -   ," 8,500.00 "," 8,500.00 ", -   ,,
48,Бат итгэлт өргөө, -   ," 8,011,520.00 ", -   ," 8,011,520.00 ",,
49,Бат-Эрдэнэ, -   ," 240,000.00 ",," 240,000.00 ",,
50,Батбаяр Hawai, -   ," 14,163,040.00 "," 14,163,040.00 ", -   ,,
51,Батбаяр.С ALL star 88089203, -   ," 615,110,498.47 "," 615,110,498.47 ", -   ,,
52,Баянхонгор Мөнхтэнгэр, -   ," 5,970,070.00 ", -   ,,,
53,Баянхонгор Мөнхтэнгэр /Юнивал интернешнл ХХК/, -   ," 12,885,130.00 "," 18,855,200.00 ",,,
54,Белла Виста Клуб /Vista health club/М СИ ЭС ЭСТЭЙТС, -   ," 10,845,720.00 "," 10,845,720.00 ", -   ,,
55,Беттер ХХК / Better Burger, -   ," 6,390,000.00 "," 6,390,000.00 ", -   ,,
56,Бийзи бийнс ХХК/King tower/Кинг клуб," 748,440.00 "," 12,432,050.00 "," 13,180,490.00 ", -   ,,
57,Билгүүн," 8,523,633.70 "," 58,010,000.00 ",," 66,533,633.70 ",,
58,Билгүүн.Г," 232,326,238.99 "," 882,685.00 ",," 233,208,923.99 ",,
59,Битси энд ко ХХК / 97173113, -   ," 360,000.00 ", -   ," 360,000.00 ",,
60,Битси энд ко ХХК / 97173113 bitsy," 483,750.00 "," 2,191,200.00 "," 2,674,950.00 ", -   ,,
61,Бямбацогт," 308,545.29 "," 74,132,075.00 "," 74,132,075.00 "," 308,545.29 ",,
62,Грэй бэвэрэжэс ХХК/ Grey," (26,400.00)"," 211,200.00 "," 184,800.00 ", -   ,,
63,Гэрэлцэцэг/Galaxy fitness, -   ," 1,235,520.00 "," 1,235,520.00 ", -   ,,
64,Ди энд Ди кюзин ХХК / Bridge ресторан / 99954800, -   ," 90,000.00 "," 90,000.00 ", -   ,,
65,Еврофарм фармаси ХХК, -   ," 4,636,170.00 "," 4,636,170.00 ", -   ,,
