,Агуулах,Барааны нэр,,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт
0,PN Gold's,Allstar Whey shake,,0,0,0,0,1412,0,0,0,1275,0,0,0,0,75
1,PN Gold's,Americano,,0,0,0,0,75,0,0,0,0,0,0,0,0,96
2,PN Gold's,Amino Liquid currant 1л шилтэй,,45,0,18,0,114,0,17,0,81,0,0,0,0,99
3,PN Gold's,Amino vibe 330мл,,0,0,0,0,0,0,0,0,0,47,0,0,0,0
4,PN Gold's,Arthro forte 340g blackcurrent,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PN Gold's,BCAA Powder 420гр,,31,0,0,0,111,0,12,0,48,0,0,0,0,105
6,PN Gold's,BCAA Zero 9g green apple,,16,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PN Gold's,BCAA Zero 9g ice tea peach,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PN Gold's,BCAA Zero 9g pineapple mango,,29,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PN Gold's,Baked cookie,,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,PN Gold's,Baked oat muffin,,0,0,0,0,226,0,4,0,0,0,0,0,0,242
11,PN Gold's,Baked oat tart,,0,0,0,0,24,0,0,0,0,0,0,0,0,32
12,PN Gold's,Baked oatcake,,0,0,0,0,649,0,2,0,0,0,0,0,0,659
13,PN Gold's,Bedford 2,,0,0,10,0,0,0,0,0,0,0,0,0,0,0
14,PN Gold's,Bedford 5,,0,0,10,0,0,0,0,0,0,0,0,0,0,0
15,PN Gold's,Bedford 7,,2,0,7,0,0,0,0,0,0,0,0,0,0,0
16,PN Gold's,Bedford 8,,1,0,7,0,0,0,0,0,0,0,0,0,0,0
17,PN Gold's,Black Blood NOX+ 340g,,0,0,0,0,5,0,0,0,5,0,0,0,0,0
18,PN Gold's,Black Test 90 caps,,0,0,2,0,3,0,0,0,5,0,0,0,0,0
19,PN Gold's,Black blood NOX+ 20g,,0,0,0,0,130,0,0,0,131,0,0,0,0,0
20,PN Gold's,Cell Loader 1000гр,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PN Gold's,Cheese soup 30g,,16,1,0,0,30,0,0,0,50,0,0,0,0,0
22,PN Gold's,Club mate 330мл,,565,145,0,0,4348,0,0,0,5218,0,0,10,0,0
23,PN Gold's,Club mate 500мл,,629,78,0,0,2841,0,0,0,3540,0,0,0,0,0
24,PN Gold's,Collagen vibe 330мл,,0,235,0,0,4978,0,0,0,4848,373,0,3,0,0
25,PN Gold's,Crush Bar,,0,10,0,0,460,0,0,0,420,53,0,1,0,0
26,PN Gold's,Crush Bar - Chocolate 64g,,342,38,0,0,19,0,0,0,372,0,0,0,0,0
27,PN Gold's,Crush Bar - Cookiescream 64g,,378,58,0,0,1,0,0,0,372,0,0,0,0,0
28,PN Gold's,Crush Bar - Toffee coconut 64g,,199,21,0,0,35,0,0,0,348,0,0,0,0,0
29,PN Gold's,Doctor эрдэст ус,,78,0,0,0,741,0,0,0,0,0,0,0,0,800
30,PN Gold's,EAA Zero 350g Lemon,,8,2,0,0,1,0,0,0,10,0,0,0,0,0
31,PN Gold's,EAA Zero 350g blue grape,,17,5,0,0,9,0,0,0,25,0,0,0,0,0
32,PN Gold's,EAA Zero 350гр,,0,1,11,0,23,0,0,0,30,5,0,0,0,0
33,PN Gold's,Energy Gel ,,0,0,0,0,26,0,0,0,0,28,0,0,0,0
34,PN Gold's,Energy Gel 60g Peach,,15,23,0,0,1,0,0,0,24,0,0,0,0,0
35,PN Gold's,Energy Gel 60g Professional Orange,,19,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PN Gold's,Energy Gel Professional,,0,0,0,0,3,0,0,0,0,0,0,1,0,0
37,PN Gold's,Energy gel 60g Orange,,5,5,0,0,23,0,0,0,48,0,0,0,0,0
38,PN Gold's,FAT-X 60 tbl,,0,0,3,0,2,0,0,0,5,0,0,0,0,0
39,PN Gold's,Gatorade,,10,0,0,0,692,0,0,0,0,0,0,0,0,696
40,PN Gold's,Glucosamine 60caps,,5,1,3,0,15,0,0,0,18,0,0,0,0,0
41,PN Gold's,Green juice,,0,0,0,0,86,0,12,0,0,0,0,0,0,90
42,PN Gold's,"Hair, Skin & Nails 54 caps",,0,1,2,0,2,0,0,0,5,0,0,0,0,0
43,PN Gold's,Hyper Mass - Caramel cappuchino 1kg,,7,0,0,0,0,0,0,0,10,0,0,0,0,0
44,PN Gold's,Hyper Mass - Chocolate 1kg,,10,10,0,0,7,0,0,0,10,0,0,0,0,0
45,PN Gold's,Hyper Mass - Vanilla 1kg,,5,11,2,0,26,0,0,0,40,0,0,0,0,0
46,PN Gold's,Hyper Mass 1000гр,,20,9,9,0,67,0,0,0,87,19,0,0,0,0
47,PN Gold's,Hyper mass sample,,4,9,0,0,677,0,0,0,520,195,0,0,0,0
48,PN Gold's,Hyper mass sample 65g chocolate,,245,129,0,0,186,0,0,0,520,0,0,0,0,0
49,PN Gold's,Hyper mass sample 65g vanilla,,251,81,0,0,238,0,0,0,490,0,0,0,0,0
50,PN Gold's,ISO Whey 500g - Banana,,19,6,2,0,6,0,0,0,30,0,0,0,0,0
51,PN Gold's,ISO Whey 500g - Chocolate,,2,14,2,0,5,0,0,0,20,0,0,0,0,0
52,PN Gold's,ISO Whey 500g - Coconut,,3,12,1,0,3,0,0,0,20,0,0,0,0,0
53,PN Gold's,ISO Whey 500g - Cookies,,18,5,5,0,4,0,0,0,30,0,0,0,0,0
54,PN Gold's,ISO Whey 500g - Pineapple mango,,18,1,0,0,0,0,0,0,20,0,0,0,0,0
55,PN Gold's,ISO Whey 500g - Raspberry,,2,2,3,0,8,0,0,0,20,0,0,0,0,0
56,PN Gold's,ISO Whey 500g - Tiramisu,,1,1,1,0,6,0,0,0,10,0,0,0,0,0
