,,,,,,,,,,,,,,,,,,,,,,,,,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх
,Байршил,Барааны нэр,Эцсийн үлдэгдэл,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого нийт,Зарлага нийт,Үлдэгдэл,,,,Байршил, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
19,PN Gold's,Hyper mass sample 65g vanilla,-21,,490,0,0,0,0,0,251,81,0,0,238,0,0,0,490,570,-80,,,,PN Gold's," 37,699.00 "," 1,828.00 ", -   , 50.00 , -   ," 26,789.00 "," 9,247.02 "," 2,969.00 ", 649.00 , -   ," 53,218.00 ", -   , 614.00 , -   
20,PN Gold's,L-Carnitine 100.000 - Cherry 500ml,-2,,12,0,0,0,0,0,8,4,0,0,2,0,0,0,12,14,-2,,,,PN Store," 110,383.00 "," 7,714.00 "," 6,172.00 ", 197.00 , -   , 911.00 ," 74,517.00 "," 26,632.00 "," 8,755.00 ", 9.00 ," 16,361.00 ", 2.00 , 216.00 , -   
21,PN Gold's,Power BCAA - Green apple 1х*6ш*420гр,-7,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,-6,,,,Агуулах," 4,556.00 "," 41,990.00 "," 2,622.00 ", -   ," 149,713.00 "," 1,506.00 "," 118,875.00 "," 64,742.00 "," 143,215.00 ", 23.00 , -   , -   , -   , 6.00 
22,PN Gold's,ISO Whey 500g - Chocolate,-1,,20,0,0,0,0,0,2,14,2,0,5,0,0,0,20,23,-3,,,,Баталгаат агуулах , 18.00 , -   , -   , -   ," 1,513.00 ", -   , -   , 1.00 ," 1,212.00 ", -   , -   , -   , -   , -   
23,PN Gold's,L-Carnitine shot,-74,,320,0,0,0,0,0,98,2,10,0,282,0,0,0,320,392,-72,,,,Бямбацогт," 1,677.00 ", -   , -   , -   , -   , -   ," 1,677.00 ", -   , -   , -   , -   , -   , -   , -   
24,PN Gold's,Power Whey - Chocolate 2250g,-1,,6,0,0,0,0,0,3,0,6,0,1,0,0,0,6,10,-4,,,,Оффис, 762.00 , -   , 5.00 , -   , -   , -   , 84.00 , -   , 6.00 , 17.00 , -   , -   , 67.00 , -   
25,PN Gold's,Peanut butter 400g smooth Biotech,-5,,15,0,0,0,0,0,5,15,0,0,1,0,0,0,15,21,-6,,,,,,,,,,,,,,,,,,
26,PN Gold's,Mineral Plex 1000мл шилтэй,-1,,120,0,0,0,0,114,70,0,25,0,127,0,12,0,234,234,0,,,,,,,,,,,,,,,,,,
31,PN Gold's,Protein cream 400g White chocolate Hazelnut,-6,,36,0,0,0,0,0,26,10,14,0,9,0,0,0,36,59,-23,,,,,,,,,,,,,,,,,,
