,Дебет,Кредит, Дүн ,,,,,,,,Харилцахын данстай харьцсан данснууд,Дүн
0,110101 - Үндсэн данс /417035100/,100101 - Касс дахь мөнгө /Дэлгүүр/," 21,523,869.25 ",,,,,,,,100101 - Касс дахь мөнгө /Дэлгүүр/," 831,783,862.89 "
1,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага," 555,681,468.95 ",,,,,,,,100102 - Касс дахь мөнгө /Gold's/," 690,217,911.13 "
2,110101 - Үндсэн данс /417035100/,120105 - Хувь хүнээс авах авлага," 3,000.00 ",,,,,,,,100103 - Касс дахь мөнгө," 27,831,291.50 "
3,110101 - Үндсэн данс /417035100/,120301 - НДШ - ийн авлага," 325,566.00 ",,,,,,,,120101 - Дансны авлага," 1,532,970,294.25 "
4,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага," 263,577.76 ",,,,,,,,120105 - Хувь хүнээс авах авлага," 43,239,500.00 "
5,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг," 11,111,500.00 ",,,,,,,,120301 - НДШ - ийн авлага," 325,566.00 "
6,110101 - Үндсэн данс /417035100/,311101 - Бусад богино хугацаат өр төлбөр," 57,621,110.00 ",,,,,,,,120601 - Ажиллагчдаас авах авлага," 4,503,986.21 "
7,110101 - Үндсэн данс /417035100/,340104 - Бусад урт хугацаат өр төлбөр," 238,000,000.00 ",,,,,,,,310101 - Дансны өглөг," 874,100,336.60 "
8,110101 - Үндсэн данс /417035100/,510400 - Бусад орлого," 94,701.27 ",,,,,,,,311101 - Бусад богино хугацаат өр төлбөр," 57,621,110.00 "
9,110102 - Соёлоогийн данс /406191289/,100103 - Касс дахь мөнгө," 226,000.00 ",,,,,,,,340104 - Бусад урт хугацаат өр төлбөр," 238,000,000.00 "
10,110102 - Соёлоогийн данс /406191289/,120101 - Дансны авлага," 79,940,847.29 ",,,,,,,,510400 - Бусад орлого," 426,073.52 "
11,110102 - Соёлоогийн данс /406191289/,120105 - Хувь хүнээс авах авлага," 43,000,000.00 ",,,,,,,,840201 - Хүүний орлого," 5,230.95 "
12,110102 - Соёлоогийн данс /406191289/,120601 - Ажиллагчдаас авах авлага," 2,704,908.45 ",,,,,,,,850101 - Ханшийн зөрүүний бодит олз," 329,372.10 "
13,110102 - Соёлоогийн данс /406191289/,310101 - Дансны өглөг," 490,582,887.00 ",,,,,,,,850201 - Ханшийн зөрүүний бодит бус олз," 2,707,663.22 "
14,110102 - Соёлоогийн данс /406191289/,510400 - Бусад орлого," 163,514.05 ",,,,,,,,," 4,304,062,198.37 "
15,110102 - Соёлоогийн данс /406191289/,840201 - Хүүний орлого," 2,492.96 ",,,,,,,,,
16,110103 - Дэлгүүрийн данс /406150539/,100101 - Касс дахь мөнгө /Дэлгүүр/," 562,610,879.63 ",,,,,,,,,
17,110103 - Дэлгүүрийн данс /406150539/,120101 - Дансны авлага," 4,181,050.00 ",,,,,,,,,
18,110103 - Дэлгүүрийн данс /406150539/,120601 - Ажиллагчдаас авах авлага," 1,435,500.00 ",,,,,,,,,
19,110103 - Дэлгүүрийн данс /406150539/,310101 - Дансны өглөг," 57,339,165.00 ",,,,,,,,,
20,110103 - Дэлгүүрийн данс /406150539/,510400 - Бусад орлого," 29,680.15 ",,,,,,,,,
21,110104 - Дэлгүүрийн ПОС /490015688/,100101 - Касс дахь мөнгө /Дэлгүүр/," 247,649,113.99 ",,,,,,,,,
22,110104 - Дэлгүүрийн ПОС /490015688/,120101 - Дансны авлага," 11,516,450.01 ",,,,,,,,,
23,110105 - Gold's данс /406150540/,100102 - Касс дахь мөнгө /Gold's/," 359,610,887.52 ",,,,,,,,,
24,110105 - Gold's данс /406150540/,310101 - Дансны өглөг," 4,650,000.00 ",,,,,,,,,
