,Кредит,Дебет, Дүн ,,,,,Дебет, Дүн 
0,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага," 23,046,586.08 ",,,,,310102 - Дансны өглөг /Евро/," 985,045,698.67 "
1,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага," 1,222,861.70 ",,,,,120102 - Дансны авлага /Евро/," 770,797,948.65 "
2,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага," 3,433,610.76 ",,,,,310101 - Дансны өглөг," 598,796,233.91 "
3,110101 - Үндсэн данс /417035100/,120604 - Цалингийн урьдчилгаа," 14,541,500.00 ",,,,,310201 - Цалингийн өглөг," 529,763,592.65 "
4,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг," 72,627,034.27 ",,,,,120101 - Дансны авлага," 316,965,924.08 "
5,110101 - Үндсэн данс /417035100/,310201 - Цалингийн өглөг," 17,035,049.05 ",,,,,340104 - Бусад урт хугацаат өр төлбөр," 285,496,675.23 "
6,110101 - Үндсэн данс /417035100/,310501 - НДШ - ийн өглөг," 11,195,427.25 ",,,,,870901 - Баримтаар нотлогдохгүй байгаа зардал," 118,785,893.06 "
7,110101 - Үндсэн данс /417035100/,340104 - Бусад урт хугацаат өр төлбөр," 129,362,029.11 ",,,,,310501 - НДШ - ийн өглөг," 118,182,830.43 "
8,110101 - Үндсэн данс /417035100/,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 9,470.12 ",,,,,702201 - Хүүгийн зардал," 86,077,926.78 "
9,110101 - Үндсэн данс /417035100/,700601 - Шуудан холбооны зардал," 586,062.28 ",,,,,711401 - Түрээсийн зардал," 71,749,818.16 "
10,110101 - Үндсэн данс /417035100/,700701 - Мэргэжлийн үйлчилгээний зардал," 771,500.00 ",,,,,120105 - Хувь хүнээс авах авлага," 64,714,980.00 "
11,110101 - Үндсэн данс /417035100/,701101 - Ашиглалтын зардал," 96,281.70 ",,,,,120106 - Бусад авлага," 59,200,000.00 "
12,110101 - Үндсэн данс /417035100/,701802 - Масло тосны зардал," 168,000.00 ",,,,,311101 - Бусад богино хугацаат өр төлбөр," 57,621,110.00 "
13,110101 - Үндсэн данс /417035100/,702101 - Хангамжын материалын зардал," 20,000.00 ",,,,,880101 - Ханшийн зөрүүний бодит гарз," 43,397,599.28 "
