,Байршил,Баримт,Огноо,Гүйлгээний утга,Барааны нэр,Зарлага тоо,Зарлага дүн
0,PN Gold's,352,4/25/2023,Хайрцагнаас дутуу гарч ирсэн,Crush Bar - Cookiescream 64g,2,12410.58
1,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,Crush Bar - Cookiescream 64g,5,31026.43
2,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Cookies,1,55931.95
3,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,Vitamin D3 K2 /60ш/,1,6781.52
4,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,EAA Zero 350g Lemon,2,100918.49
5,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Pineapple mango,1,55931.95
6,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,Shaker 600ml,1,5622.79
7,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,Crush Bar - Toffee coconut 64g,5,31026.33
8,PN Gold's,515,5/9/2023,Ажилчдын хэрэглээ,Crush Bar - Chocolate 64g,5,31025.67
9,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Crush Bar - Cookiescream 64g,3,18615.12
10,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Nitrox - Cranberry 680гр,1,58600.64
11,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Zero bar Chocolate 50g,1,4405.86
12,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Nitrox - Peach 680гр,1,57349.17
13,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Protein bar 15*55g Cookies cream,11,36820.38
14,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Crush Bar - Toffee coconut 64g,2,12410.27
15,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,Protein snap,2,4141.87
16,PN Gold's,756,6/6/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Banana,2,100060.52
17,PN Gold's,1009,7/4/2023,Ажилчдын хэрэглээ,Power BCAA - Watermelon 420g,1,34035.31
18,PN Gold's,1009,7/4/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Banana,2,100060.52
19,PN Gold's,1009,7/4/2023,Ажилчдын хэрэглээ,Protein snap,1,2070.94
20,PN Gold's,1009,7/4/2023,Ажилчдын хэрэглээ,MSM+ Vitamin C 150g,1,18668.2
21,PN Gold's,1009,7/4/2023,Ажилчдын хэрэглээ,Protein bar 15*55g Caramel peanuts,1,3347.27
22,PN Gold's,1044,7/10/2023,Хэрэглээ,Crush Bar - Cookiescream 64g,13,80402.71
23,PN Gold's,1044,7/10/2023,Хэрэглээ,Snack 12*45g Peach,14,70411.8
24,PN Gold's,1044,7/10/2023,Хэрэглээ,Nitrox sample - Cranberry 17g,12,35458.74
25,PN Gold's,1044,7/10/2023,Хэрэглээ,ISO Whey 500g - Coconut,2,111863.89
26,PN Gold's,1044,7/10/2023,Хэрэглээ,Zero bar Chocolate 50g,30,132143.28
27,PN Gold's,1044,7/10/2023,Хэрэглээ,Protein bar 15*55g Choco caramel,5,16736.54
28,PN Gold's,1044,7/10/2023,Хэрэглээ,Crush Bar - Chocolate 64g,11,68185.7
29,PN Gold's,1044,7/10/2023,Хэрэглээ,Protein wafer,5,14581.07
30,PN Gold's,1061,7/17/2023,Акт,Protein cream 400g White chocolate Hazelnut,1,12632.7
31,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,Nitrox - Blue grape 680g,1,58028.93
32,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,L-Carnitine powder 300g,1,35804.94
33,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,ISO Whey sample - Cookies 25g,6,24061.29
34,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,Crush Bar - Toffee coconut 64g,3,18511.7
35,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,Power Amino,1,26875.41
36,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,Protein bar 15*55g Caramel peanuts,1,3314.59
37,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,Protein snap,7,14496.54
38,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,Glucosamine 60caps,1,21247.2
39,PN Gold's,1201,8/1/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Banana,1,51940.92
40,PN Gold's,1396,8/30/2023,Ажилчдын хэрэглээ,Club mate 500мл,20,73747.84
41,PN Gold's,1396,8/30/2023,Ажилчдын хэрэглээ,Ундаа Amino 330ml Waikiki,24,56320.88
42,PN Gold's,1397,8/30/2023,Акт,Ундаа Amino 330ml Waikiki,1,2346.7
43,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Crush Bar - Chocolate 64g,5,31761.8
44,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Power Amino,1,26874.91
45,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Protein bar 15*55g Choco caramel,1,3381.8
46,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Tiramisu,1,0
47,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Ундаа Amino 330ml Raspberry,2,4311.46
48,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Ундаа Amino 330ml Lemon soda,24,49268.71
49,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Protein cream 400g Chocolate hazelnut,2,25149.57
50,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,ISO Whey sample - Hazelnut 25g,1,0
51,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Crush Bar - Toffee coconut 64g,10,63741.57
52,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Club mate 330мл,24,73872.61
53,PN Gold's,1630,9/27/2023,Ажилчдын хэрэглээ,Oatmeal 1kg apple&banana,1,0
54,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,Ундаа Amino 330ml Waikiki,24,56297.61
55,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,Protein bar 15*55g Choco caramel,2,6762.53
56,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,Multivitamin  90ш,2,25903.83
57,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,ISO Whey sample - coconut 25g,1,65.53
58,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,Zero bar Hazelnut 50g,4,0
59,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,Club mate 330мл,24,73873.47
60,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,L-Carnitine 100.000 - Cherry 500ml,2,0
61,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,Cheese soup 30g,1,0
62,PN Gold's,1727,10/15/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Cookies,3,0
63,PN Gold's,1844,11/1/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Banana,1,57476.63
64,PN Gold's,1844,11/1/2023,Ажилчдын хэрэглээ,Club mate 330мл,24,73874.39
65,PN Gold's,1844,11/1/2023,Ажилчдын хэрэглээ,ISO Whey 500g - Cookies,1,0
